Rank,Turkish,English,,Notes
1,bir,one,,"1) This list was created using public/free subtitles, particularly from opensubtitles.org."
2,bu ,this,,The order is based on the number of occurences of each word in the subtitles.
3,ve,and,,
4,ne,What,,2) The English translation is by Google and can be un-reliable for some words.
5,mi,Did you,,
6,için,for,,3) You can change the translation from English to another language.
7,çok,very,,To do this you will first need to make a copy of this spreadsheet.  (File > Make a copy...)
8,ben,I,,"Then replace the ""en"" in the function in the cells in Column C with your desired language code."
9,o,she is,,"e.g. Replace ""en"" with ""sv"" for Swedish."
10,evet,Yeah,,List of supported languages:
11,de,also,,https://cloud.google.com/translate/v2/using_rest?hl=en#language-params
12,var,there is,,
13,ama,but,,4) The original source of this list can be found here:
14,mı,is,,https://invokeit.wordpress.com/frequency-word-lists/
15,değil,not,,
16,hayır,no,,5) It is licensed under the following Creative Commons license:
17,sen,you,,http://creativecommons.org/licenses/by-sa/3.0/
18,şey,thing,,
19,da,in,,6) More Most Common word lists (other languages) can be found here:
20,daha,more,,http://www.101languages.net/common-words/
21,bana,to me,,
22,kadar,until,,
23,seni,you,,
24,beni,me,,
25,iyi,good,,
26,onu,him,,
27,tamam,OK,,
28,bunu,this,,
29,gibi,as,,
30,yok,no,,
31,benim,just me,,
32,her,each,,
33,sana,you,,
34,ki,that,,
35,sadece,just,,
36,neden,why is that,,
37,senin,your,,
38,burada,here,,
39,zaman,time,,
40,hiç,no,,
41,şimdi,now,,
42,nasıl,how,,
43,sonra,after,,
44,olduğunu,that,,
45,en,most,,
46,mu,is,,
47,hadi,let's,,
48,misin,will you,,
49,şu,water,,
50,öyle,so,,
51,ya,either,,
52,güzel,beautiful,,
53,biraz,some,,
54,musun,Do you,,
55,önce,prior to,,
56,lütfen,Please,,
57,İyi,Good,,
58,bak,look,,
59,ona,him,,
60,böyle,such,,
61,oldu,it was,,
62,hey,Hey,,
63,istiyorum,I want,,
64,onun,her,,
65,geri,back,,
66,bile,even,,
67,eğer,if,,
68,artık,no longer,,
69,gerçekten,really,,
70,kim,who,,
71,bay,Mr,,
72,yani,so,,
73,çünkü,because,,
74,büyük,big,,
75,doğru,true,,
76,peki,Well,,
77,buraya,here,,
78,biliyorum,I know,,
79,başka,another,,
80,belki,maybe,,
81,olarak,as,,
82,tanrım,my god,,
83,tek,single,,
84,efendim,sorry,,
85,biri,someone,,
86,olur,would,,
87,olacak,it will be,,
88,adam,man,,
89,haydi,come on,,
90,olan,one,,
91,İşte,Here,,
92,et,meat,,
93,sanırım,I think,,
94,merhaba,Hello there,,
95,biz,we,,
96,orada,there,,
97,demek,say,,
98,teşekkürler,thanks,,
99,hiçbir,no,,
100,nerede,where,,
101,yardım,help,,
102,ederim,I would,,
103,bilmiyorum,I do not know,,
104,gün,day,,
105,gece,night,,
106,oh,oh,,
107,fazla,much,,
108,bütün,all,,
109,bunun,it,,
110,tüm,all,,
111,harika,great,,
112,ile,with,,
113,yeni,new,,
114,gel,come,,
115,biliyor,he knows,,
116,iki,two,,
117,kötü,bad,,
118,küçük,small,,
119,tam,full,,
120,olsun,get,,
121,siz,you,,
122,son,last,,
123,şeyler,things,,
124,ol,be,,
125,bayan,Lady,,
126,şeyi,thing,,
127,hemen,immediately,,
128,size,to you,,
129,sorun,problem,,
130,üzgünüm,sorry,,
131,ver,give,,
132,onları,them,,
133,lanet,curse,,
134,teşekkür,thank,,
135,devam,continuation,,
136,kız,girl,,
137,git,go,,
138,sizi,you,,
139,dostum,my friend,,
140,gerek,need,,
141,pekala,well,,
142,bizi,us,,
143,bize,to us,,
144,hakkında,about,,
145,buna,this,,
146,kendi,own,,
147,baba,father,,
148,aynı,same,,
149,anne,mom,,
150,dur,Stop,,
151,oluyor,is happening,,
152,mısın,will you,,
153,iş,business,,
154,kimse,nobody,,
155,asla,never,,
156,diye,that,,
157,izin,permission,,
158,hala,still,,
159,al,get,,
160,seninle,with you,,
161,şunu,it,,
162,olabilir,can,,
163,mü,is,,
164,söyle,tell,,
165,benimle,with me,,
166,tabii,Of course,,
167,para,money,,
168,bizim,our,,
169,selam,Hello,,
170,yoksa,or,,
171,içinde,in,,
172,önemli,important,,
173,değilim,I am not,,
174,yüzden,why,,
175,herkes,everyone,,
176,ister,either,,
177,gidelim,lets go,,
178,dakika,minute,,
179,bırak,leave,,
180,geldi,came,,
181,üç,three,,
182,biliyorsun,you know,,
183,işte,Here,,
184,tekrar,again,,
185,vardı,It had,,
186,bakalım,let's see,,
187,istiyorsun,Would you,,
188,onlar,them,,
189,bugün,today,,
190,özür,apology,,
191,buradan,from here,,
192,hep,always,,
193,miyim,Can I,,
194,yine,again,,
195,yapıyorsun,you are doing,,
196,bekle,expect,,
197,uzun,long,,
198,gerçek,real,,
199,geliyor,coming,,
200,saat,hour,,
201,aslında,actually,,
202,olmak,be,,
203,çocuklar,children,,
204,neler,What,,
205,nedir,what,,
206,çocuk,child,,
207,bence,in my opinion,,
208,burası,here,,
209,onunla,with him,,
210,eve,home,,
211,ilk,first,,
212,göre,by,,
213,sizin,your,,
214,yer,place,,
215,nereye,where,,
216,birlikte,together,,
217,yıl,year,,
218,hepsi,all,,
219,kaç,How many,,
220,dinle,listen,,
221,şekilde,the way,,
222,olmaz,No way,,
223,pek,very,,
224,yere,place,,
225,tanrı,God,,
226,istemiyorum,I do not want,,
227,emin,sure,,
228,fakat,but,,
